"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          63,      -8.911894836,      -9.005327552,      -9.195840013,      -9.077470874,      -8.339565698
          0,           0,          64,      -8.976988928,      -9.062550798,      -9.290154035,      -9.148552803,      -8.397862843
          0,           0,          65,      -9.034341858,      -9.122053741,      -9.372913556,      -9.206377352,       -8.46469079
          0,           0,          66,      -9.099553981,      -9.188256919,      -9.459299195,      -9.262612332,      -8.529503893
          0,           0,          67,      -9.173206666,      -9.254142928,      -9.540874163,      -9.317427419,      -8.595387423
          0,           0,          68,      -9.251151915,      -9.322774144,      -9.613567356,      -9.372797631,      -8.666083585
          0,           0,          69,      -9.322764881,      -9.391076849,      -9.658403222,      -9.428091494,      -8.745459291
          0,           0,          70,      -9.397445562,      -9.464498897,      -9.707933288,      -9.488402648,       -8.82046767
          0,           0,          71,        -9.4785693,      -9.536040678,      -9.760193359,      -9.552835778,      -8.895350267
          0,           0,          72,      -9.559643395,      -9.605609181,      -9.814321006,      -9.619586348,       -8.97079063
          0,           0,          73,       -9.62483583,      -9.672294735,      -9.860324365,      -9.689408318,      -9.048580123
          0,           0,          74,      -9.687966203,      -9.741048181,      -9.923175587,      -9.763861296,      -9.114992209
          0,           0,          75,      -9.755982147,      -9.806293633,      -9.996426351,      -9.839131705,      -9.178013045
          0,           0,          76,      -9.811257699,      -9.869306196,      -10.06368284,      -9.911499096,      -9.243781589
          0,           0,          77,      -9.868455109,      -9.934054313,      -10.14337626,      -9.983718989,      -9.299985446
          0,           0,          78,       -9.92848934,      -9.994600274,      -10.22617114,      -10.04982426,      -9.352010585
          0,           0,          79,      -9.977376767,      -10.05397734,      -10.29345549,      -10.10943279,      -9.410684245
          0,           0,          80,      -10.02963876,      -10.11300548,      -10.35993727,      -10.16005373,      -9.459418372
          0,           0,          81,      -10.08518634,      -10.16669152,      -10.40723343,      -10.19517685,       -9.50536875
          0,           0,          82,      -10.13220258,      -10.22027966,      -10.43091465,       -10.2279747,       -9.56215353
          0,           0,          83,      -10.18219556,      -10.27196996,      -10.45493477,      -10.25189929,      -9.609356565
          0,           0,          84,      -10.23914839,      -10.31724178,      -10.46314248,      -10.26291286,      -9.656343983
          0,           0,          85,      -10.28878713,      -10.36575624,      -10.47023525,      -10.28522394,      -9.715777436
          0,           0,          86,       -10.3407969,      -10.40875637,      -10.47776005,      -10.29747231,      -9.764814691
          0,           0,          87,      -10.40131911,      -10.44628261,      -10.47803297,      -10.29762866,      -9.816952839
          0,           0,          88,      -10.46079651,      -10.48538608,      -10.48353035,      -10.30284184,      -9.873614548
          0,           0,          89,      -10.51218187,      -10.53214282,      -10.50453247,      -10.32795708,       -9.93658792
          0,           0,          90,      -10.56863672,      -10.57682629,      -10.53409844,      -10.35841962,      -9.991674242
          0,           0,          91,      -10.62686162,      -10.61675025,      -10.56886309,      -10.39031539,      -10.04333216
          0,           0,          92,      -10.67321223,      -10.66464064,      -10.61060694,      -10.43032609,      -10.10026571
          0,           0,          93,      -10.72260885,      -10.71439155,      -10.66371328,      -10.47840765,      -10.14720058
          0,           0,          94,      -10.76777416,      -10.75904496,       -10.7251387,       -10.5310931,      -10.18489751
          0,           0,          95,      -10.80317156,      -10.81098677,      -10.78462827,      -10.58466624,      -10.23388805
          0,           0,          96,      -10.83988672,      -10.86314652,      -10.85723869,      -10.64806563,      -10.26602121
          0,           0,          97,      -10.87646272,       -10.9087021,      -10.93872252,      -10.71707984,      -10.29284651
          0,           0,          98,      -10.90780358,      -10.95819727,      -11.00660848,      -10.77916945,      -10.33688687
          0,           0,          99,      -10.94429117,      -11.01067858,      -11.08700436,      -10.84964176,      -10.37044922
          0,           0,         100,      -10.98934882,      -11.05804344,      -11.16242112,      -10.91801523,      -10.40471192
          0,           0,         101,      -11.03181774,      -11.10943461,      -11.20934365,      -10.97493889,      -10.45855515
          0,           0,         102,      -11.07879324,      -11.15913516,      -11.24154914,      -11.02086873,      -10.50238398
          0,           0,         103,      -11.13753188,      -11.20512982,      -11.24381951,      -11.04017159,      -10.55150568
          0,           0,         104,      -11.19918365,      -11.25074563,       -11.2351602,      -11.04627921,      -10.60943427
          0,           0,         105,       -11.2611567,      -11.29411898,      -11.23160448,      -11.05118694,      -10.67044022
          0,           0,         106,      -11.32350291,      -11.33608816,      -11.23881812,      -11.06152625,       -10.7325146
          0,           0,         107,      -11.38486561,      -11.37835516,      -11.25778037,      -11.07971907,       -10.7939098
          0,           0,         108,       -11.4357522,      -11.42212183,       -11.2889338,      -11.11079924,      -10.85647756
          0,           0,         109,      -11.49195003,       -11.4702455,       -11.3293747,      -11.14965205,      -10.91195533
          0,           0,         110,      -11.54467408,      -11.51622583,      -11.37457931,      -11.19077115,      -10.95896045
          0,           0,         111,      -11.58107455,      -11.56190377,       -11.4211559,      -11.23441155,      -11.00661995
          0,           0,         112,      -11.61998601,      -11.61284043,      -11.47849636,      -11.28786592,      -11.04338099
          0,           0,         113,      -11.65669319,      -11.66014057,      -11.54119845,      -11.34754465,      -11.07282796
          0,           0,         114,      -11.68414775,      -11.70399665,      -11.58960122,      -11.40494882,      -11.11182782
          0,           0,         115,      -11.71085695,      -11.73737208,      -11.63012385,      -11.47435329,      -11.13555757
          0,           0,         116,      -11.73053015,      -11.74033824,       -11.6303923,      -11.55090097,      -11.14835535
          0,           0,         117,      -11.76370202,      -11.77690908,      -11.60708518,      -11.61952418,      -11.19206534
          0,           0,         118,      -11.78938051,      -11.81042197,      -11.62480381,      -11.70164629,      -11.21595801
          0,           0,         119,      -11.80667843,      -11.82206742,      -11.65121168,        -11.784873,      -11.22805835
          0,           0,         120,      -11.82071442,      -11.82685124,      -11.66637722,      -11.84770743,      -11.24021541
          0,           0,         121,      -11.84229764,      -11.84754878,      -11.65254284,      -11.88790442,      -11.27082692
          0,           0,         122,      -11.85978755,      -11.85575462,      -11.66473795,      -11.89904351,      -11.28756117
          0,           0,         123,      -11.87418438,      -11.85765781,      -11.67246864,      -11.91035064,      -11.29947032
          0,           0,         124,      -11.89562636,       -11.8777741,      -11.65686775,      -11.92797354,      -11.32542931
          0,           0,         125,      -11.91144092,      -11.88905384,      -11.66985182,      -11.94212923,      -11.34000029
          0,           0,         126,      -11.90999261,      -11.87984845,      -11.67772627,      -11.94519753,      -11.33692203
          0,           0,         127,      -11.92284143,      -11.89473939,      -11.66365032,      -11.96839479,      -11.35350044
          0,           0,         128,      -11.93606702,      -11.90698627,      -11.67819864,      -11.99897027,      -11.36535643
          0,           0,         129,      -11.93196027,      -11.89961528,      -11.68878104,      -12.03214262,      -11.35997549
          0,           0,         130,       -11.9229602,      -11.88909594,      -11.69445127,      -12.06574321,      -11.35097488
          0,           0,         131,      -11.93686429,      -11.90768013,      -11.67559013,      -12.11019276,      -11.36827516
          0,           0,         132,      -11.94924599,      -11.92026089,      -11.69076707,      -12.17027403,      -11.37915785
          0,           0,         133,      -11.94282648,      -11.91100941,      -11.70119211,      -12.23440484,      -11.37154408
          0,           0,         134,      -11.93287638,      -11.89946796,      -11.70569447,      -12.29202793,      -11.36157126
          0,           0,         135,       -11.9380361,      -11.90450296,      -11.68332748,      -12.27797868,      -11.36939074
          0,           0,         136,      -11.94879726,      -11.91601378,      -11.69733466,      -12.39333734,      -11.37905428
          0,           0,         137,      -11.94553039,      -11.91168529,      -11.70607455,      -12.47820396,      -11.37457821
          0,           0,         138,      -11.93721909,       -11.9023833,      -11.70894939,      -12.50587988,      -11.36618617
          0,           0,         139,      -11.94567958,      -11.91203144,      -11.68585585,      -12.45001056,       -11.3771372
          0,           0,         140,      -11.93286366,      -11.88997101,       -11.6971046,      -12.27184615,      -11.36287779
          0,           0,         141,      -11.93032986,      -11.88895116,      -11.70624041,      -12.44828804,      -11.35984717
          0,           0,         142,      -11.94774048,      -11.91163249,       -11.6870238,       -12.5276588,      -11.37897982
          0,           0,         143,      -11.95515624,      -11.91927056,      -11.69975433,      -12.53994699,      -11.38505932
          0,           0,         144,      -11.94638968,      -11.90897192,      -11.70733065,      -12.60351522,      -11.37525359
          0,           0,         145,      -11.95687606,      -11.92272427,      -11.68763927,      -12.58954956,      -11.38801748
          0,           0,         146,       -11.9623898,      -11.92792145,      -11.70008813,      -12.61192422,      -11.39229367
          0,           0,         147,      -11.94996612,      -11.91268304,      -11.70737554,      -12.55358547,      -11.37907575
          0,           0,         148,      -11.94867382,      -11.91085015,       -11.6872362,      -12.41386713,      -11.37977023
          0,           0,         149,      -11.95520997,      -11.91851422,      -11.70008076,      -12.57591404,      -11.38524803
          0,           0,         150,       -11.9498318,      -11.91318484,      -11.70769667,       -12.6389451,      -11.37894803
          0,           0,         151,      -11.93997824,      -11.90316822,      -11.70971479,      -12.57815193,      -11.36914764
          0,           0,         152,      -11.94755179,      -11.91201779,      -11.68615576,      -12.47109616,      -11.37903311
          0,           0,         153,      -11.93153691,      -11.88661888,      -11.69703866,      -12.26591687,      -11.36150906
          0,           0,         154,      -11.93012415,      -11.88754531,      -11.70624178,      -12.44132892,      -11.35976135
          0,           0,         155,      -11.94819849,      -11.91121164,      -11.68696958,      -12.52128735,      -11.37947602
          0,           0,         156,      -11.95537127,      -11.91902096,      -11.69967176,      -12.52968043,       -11.3853065
          0,           0,         157,      -11.94708119,      -11.90882539,      -11.70734131,      -12.53002581,      -11.37598377
          0,           0,         158,      -11.94289021,      -11.90367356,      -11.68662014,      -12.36007833,      -11.37380559
          0,           0,         159,       -11.9475904,      -11.90985379,       -11.6997705,      -12.52081118,       -11.3777237
          0,           0,         160,      -11.95397797,      -11.91693608,      -11.70070684,      -12.59615655,      -11.38319632
          0,           0,         161,      -11.94739903,      -11.90949024,      -11.70699909,      -12.58014479,      -11.37622609
          0,           0,         162,       -11.9297517,      -11.88871905,      -11.70898315,      -12.42256829,      -11.35878451
          0,           0,         163,      -11.94526157,      -11.91030958,      -11.68619457,      -12.54919388,      -11.37690518
          0,           0,         164,      -11.95910806,      -11.92515163,      -11.69928735,      -12.64932525,      -11.38916479
          0,           0,         165,      -11.95042099,      -11.91434979,      -11.70726372,      -12.62381343,      -11.37961324
          0,           0,         166,      -11.93458581,      -11.89592939,      -11.70936541,      -12.48117747,      -11.36387971
