"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          63,      -9.335528892,      -9.324942661,      -9.239817073,      -9.029704681,      -8.709725274
          0,           0,          64,      -9.429847838,       -9.42110431,      -9.327817172,      -9.123718802,      -8.800031149
          0,           0,          65,      -9.513669275,       -9.50443097,      -9.401368326,      -9.206732017,      -8.890501059
          0,           0,          66,      -9.595783442,      -9.581005775,      -9.485075803,      -9.295374562,      -8.974063975
          0,           0,          67,      -9.673720866,      -9.645943921,      -9.572041018,      -9.383212751,      -9.050499873
          0,           0,          68,      -9.742860052,      -9.700310822,      -9.653840831,      -9.461768641,      -9.118505254
          0,           0,          69,      -9.801064091,      -9.754782874,      -9.720790659,      -9.528537061,      -9.185028061
          0,           0,          70,      -9.862922738,      -9.811178364,      -9.789315727,      -9.594470134,      -9.247968483
          0,           0,          71,       -9.92865213,      -9.868925881,      -9.848987822,      -9.653906068,      -9.310905322
          0,           0,          72,      -9.996915318,      -9.933330934,      -9.899156249,      -9.706938994,      -9.377441676
          0,           0,          73,      -10.06734768,      -10.00050223,      -9.936101902,      -9.746995655,      -9.444377696
          0,           0,          74,      -10.13765557,      -10.07436334,      -9.976331769,      -9.793615005,      -9.522865395
          0,           0,          75,      -10.21184867,      -10.14836579,      -10.02029568,      -9.841994147,      -9.595218033
          0,           0,          76,      -10.28505893,      -10.21860003,      -10.06126797,       -9.88686918,      -9.662443291
          0,           0,          77,      -10.34790909,      -10.28108937,      -10.09763764,      -9.921930297,      -9.721006693
          0,           0,          78,      -10.39587955,       -10.3386717,      -10.13924591,      -9.963272833,      -9.780344675
          0,           0,          79,       -10.4492818,      -10.39929947,      -10.18806643,      -10.01040647,      -9.833179962
          0,           0,          80,      -10.50409975,      -10.45572534,       -10.2413504,      -10.06172074,      -9.882852402
          0,           0,          81,      -10.54745357,      -10.50772608,      -10.29412108,      -10.11491192,      -9.934195746
          0,           0,          82,      -10.59799632,       -10.5617634,       -10.3587572,      -10.17635198,      -9.982890492
          0,           0,          83,       -10.6525739,       -10.6122183,      -10.43015575,      -10.24224486,      -10.03188715
          0,           0,          84,      -10.69934645,      -10.66864338,      -10.49534572,      -10.30612209,      -10.08798281
          0,           0,          85,      -10.75270301,      -10.72434163,      -10.57194403,      -10.37955956,      -10.13812274
          0,           0,          86,      -10.80867457,      -10.77663828,      -10.65594168,      -10.45933945,      -10.18716942
          0,           0,          87,      -10.85258241,      -10.83119838,      -10.72991477,      -10.53326025,      -10.24110311
          0,           0,          88,      -10.90293679,      -10.88666819,      -10.81694753,      -10.61676691,      -10.28843588
          0,           0,          89,      -10.95948664,      -10.94114529,      -10.91183427,       -10.7060934,      -10.33695223
          0,           0,          90,      -11.00362772,      -10.99395703,       -10.9928125,      -10.78630143,      -10.39242072
          0,           0,          91,        -11.054852,      -11.04440557,      -11.08576857,      -10.87449856,      -10.44063039
          0,           0,          92,      -11.11505856,      -11.09147124,      -11.18335072,      -10.96515063,      -10.49227868
          0,           0,          93,      -11.16170679,      -11.13283067,      -11.26193201,      -11.04334064,      -10.55011676
