"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          63,      -4.341868278,      -3.444393736,      -3.315061635,      -2.292959178,      -9.787844736
          0,           0,          64,      -4.362602328,       -3.46882289,      -3.318664999,      -2.313130392,      -9.780908991
          0,           0,          65,      -4.386158878,      -3.482226957,      -3.319304859,       -2.33636127,      -9.773699885
          0,           0,          66,      -4.409800012,      -3.483786164,      -3.319075219,      -2.360081902,      -9.766068681
          0,           0,          67,      -4.430250288,      -3.477086752,      -3.320155838,      -2.381119168,      -9.757831423
          0,           0,          68,      -4.444761259,      -3.467846237,      -3.324277107,      -2.396662886,      -9.749145222
          0,           0,          69,      -4.452345277,      -3.461265869,      -3.332477948,      -2.405473514,      -9.740171304
          0,           0,          70,      -4.454258333,      -3.460880935,      -3.345052752,      -2.408484263,      -9.730993008
          0,           0,          71,      -4.453294863,      -3.468581192,      -3.361571554,      -2.408264399,      -9.721826683
          0,           0,          72,      -4.452539647,      -3.484920169,      -3.380929661,      -2.407837235,      -9.712572201
          0,           0,          73,      -4.454451404,      -3.509245965,       -3.40146297,      -2.409719498,      -9.703281211
          0,           0,          74,      -4.460530425,      -3.539540686,      -3.421213775,       -2.41552051,      -9.694158612
          0,           0,          75,      -4.471352837,      -3.572096768,      -3.438397005,      -2.425935059,      -9.685177343
          0,           0,          76,      -4.486722611,      -3.601544727,      -3.451961029,      -2.440881201,       -9.67655616
          0,           0,          77,      -4.505825856,       -3.62214384,      -3.461960652,      -2.459650999,      -9.668391461
          0,           0,          78,      -4.527379467,      -3.630556446,      -3.469495179,      -2.481052092,       -9.66082648
          0,           0,          79,      -4.549815269,      -3.628009401,      -3.476255939,      -2.503573597,      -9.653843467
          0,           0,          80,       -4.57153779,      -3.619375419,      -3.483971656,      -2.525616948,      -9.647548034
          0,           0,          81,      -4.591241523,        -3.6102813,      -3.494002797,      -2.545793383,      -9.641944832
          0,           0,          82,      -4.608197511,      -3.605057357,      -3.507146649,      -2.563220484,      -9.636975608
          0,           0,          83,       -4.62238803,      -3.606264575,       -3.52359116,      -2.577703573,      -9.632689972
          0,           0,          84,      -4.634429391,      -3.614983548,      -3.542942078,      -2.589720866,      -9.629037196
          0,           0,          85,      -4.645339491,      -3.631158202,      -3.564293256,      -2.600235101,      -9.626030642
          0,           0,          86,      -4.656276776,      -3.653750899,      -3.586359478,      -2.610439318,      -9.623680013
          0,           0,          87,      -4.668343633,      -3.680731972,      -3.607708263,      -2.621538758,      -9.621927215
          0,           0,          88,      -4.682472909,      -3.709078821,      -3.627093046,      -2.634606982,      -9.620793101
          0,           0,          89,      -4.699366139,      -3.735100532,      -3.643804209,      -2.650498722,      -9.620242606
          0,           0,          90,      -4.719440418,      -3.755382842,      -3.657881818,      -2.669781002,      -9.620219375
          0,           0,          91,      -4.742751812,      -3.768144594,      -3.670071626,      -2.692648069,      -9.620708628
          0,           0,          92,      -4.768883768,      -3.774051639,        -3.6815519,      -2.718801729,      -9.621670468
          0,           0,          93,      -4.796820495,      -3.775714349,      -3.693579597,      -2.747306701,      -9.623001281
          0,           0,          94,      -4.824879665,       -3.77632351,      -3.707198286,      -2.776485452,       -9.62462503
          0,           0,          95,      -4.850851687,      -3.778471799,      -3.723062802,       -2.80400363,       -9.62652968
          0,           0,          96,      -4.872504605,      -3.783618843,      -3.741362926,      -2.827345415,      -9.628628962
          0,           0,          97,      -4.888414052,      -3.792028125,      -3.761809803,      -2.844707582,      -9.630882148
          0,           0,          98,      -4.898692209,      -3.802903618,      -3.783668829,      -2.855895042,      -9.633244941
          0,           0,          99,      -4.905067342,       -3.81463417,      -3.805852901,      -2.862545075,      -9.635683656
          0,           0,         100,      -4.910246987,      -3.825190487,        -3.8271057,      -2.867485225,      -9.638169452
          0,           0,         101,      -4.917059119,      -3.832725531,      -3.846281932,      -2.873754244,      -9.640700473
          0,           0,         102,      -4.927851799,      -3.836236455,      -3.862663649,      -2.883887896,       -9.64329608
          0,           0,         103,      -4.944248424,      -3.835950227,      -3.876182589,      -2.899622325,      -9.645973358
          0,           0,         104,      -4.967103965,        -3.8331819,      -3.887428789,      -2.921842058,      -9.648762763
          0,           0,         105,      -4.996486445,      -3.829781911,       -3.89743795,      -2.950564931,      -9.651701264
          0,           0,         106,      -5.031583161,      -3.827532929,      -3.907369817,      -2.984848575,      -9.654817025
          0,           0,         107,      -5.070528509,      -3.827755497,      -3.918213403,      -3.022623957,      -9.658120471
          0,           0,         108,      -5.110298214,      -3.831151881,      -3.930592007,       -3.06063634,      -9.661628967
          0,           0,         109,      -5.147024024,      -3.837800171,       -3.94467267,      -3.094891319,      -9.665337714
          0,           0,         110,      -5.177113197,      -3.847217784,      -3.960158586,       -3.12195452,      -9.669255734
          0,           0,         111,      -5.198920992,       -3.85846765,      -3.976353348,      -3.140659091,      -9.673380515
          0,           0,         112,      -5.213716294,      -3.870322893,      -3.992303882,      -3.152824859,      -9.677699906
          0,           0,         113,      -5.224959945,      -3.881509482,      -4.007025816,      -3.162240006,      -9.682211551
          0,           0,         114,      -5.236590978,      -3.891004979,      -4.019776735,      -3.172898378,      -9.686910395
          0,           0,         115,      -5.251653351,      -3.898302722,      -4.030288132,      -3.187775275,      -9.691802757
          0,           0,         116,      -5.271683998,      -3.903521023,      -4.038850747,      -3.208367745,      -9.696855894
          0,           0,         117,      -5.296510858,      -3.907298547,      -4.046209276,      -3.234568345,      -9.702056684
          0,           0,         118,       -5.32411621,      -3.910533012,      -4.053321655,      -3.264522237,      -9.707395599
          0,           0,         119,      -5.350636657,      -3.914088494,      -4.061090923,      -3.294509159,      -9.712856343
          0,           0,         120,      -5.371072211,      -3.918572454,      -4.070154267,      -3.319395311,      -9.718432787
          0,           0,         121,      -5.381267776,      -3.924218735,      -4.080758309,      -3.334391852,      -9.724102269
          0,           0,         122,      -5.380343486,      -3.930867395,      -4.092713868,      -3.337697841,      -9.729854521
          0,           0,         123,      -5.371305759,      -3.938022388,      -4.105420378,      -3.331714833,      -9.735688434
          0,           0,         124,      -5.359180796,      -3.944974108,      -4.117964161,      -3.321466259,      -9.741590882
          0,           0,         125,      -5.348707956,      -3.950973295,      -4.129300295,      -3.312034884,      -9.747542064
          0,           0,         126,      -5.343244295,      -3.955424756,      -4.138504072,      -3.307130178,      -9.753545493
          0,           0,         127,      -5.344739019,      -3.958045951,      -4.145027512,      -3.308915102,        -9.7596099
          0,           0,         128,       -5.35406983,      -3.958933674,      -4.148857938,      -3.318325491,      -9.765743619
          0,           0,         129,       -5.37132754,      -3.958514876,       -4.15050211,      -3.335366431,      -9.771939153
          0,           0,         130,      -5.395930981,      -3.957410436,      -4.150808366,      -3.359226113,      -9.778199653
          0,           0,         131,      -5.426581611,      -3.956272372,      -4.150718319,      -3.388223135,      -9.784533729
          0,           0,         132,      -5.461132917,       -3.95564913,      -4.151048195,      -3.419709783,      -9.790926023
          0,           0,         133,      -5.496550817,      -3.955905082,      -4.152352219,      -3.450193568,      -9.797364683
          0,           0,         134,      -5.529273864,      -3.957194021,      -4.154870337,      -3.476033663,      -9.803839389
          0,           0,         135,      -5.556226264,       -3.95947431,      -4.158539836,      -3.494775992,      -9.810333131
          0,           0,         136,      -5.576172681,      -3.962552102,      -4.163051025,      -3.506386368,      -9.816802632
