"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.272975033,      -13.19530527,      -13.16984918,      -1.225267601,      -8.978619975
          0,           0,           1,      -3.872714701,        -3.1172928,      -2.726458517,      -1.822754923,      -9.294371156
          0,           0,           2,      -3.896631392,      -3.214108238,      -2.967218329,      -1.844296083,      -9.793175356
          0,           0,           3,      -3.887642704,      -3.251858247,       -3.15629562,      -1.836410038,      -9.960824954
          0,           0,           4,        -3.9449407,      -3.230469593,      -3.119276371,      -1.894407841,      -10.07455727
          0,           0,           5,      -4.012423746,      -3.186867281,      -3.087531046,      -1.963421001,      -10.17873056
          0,           0,           6,      -4.071130935,      -3.149369802,      -3.085340666,      -2.024001372,      -10.22859699
          0,           0,           7,       -4.10559631,      -3.127158327,      -3.101788948,      -2.059479454,      -10.24938036
          0,           0,           8,      -4.109413434,      -3.120917395,      -3.130804476,      -2.063046106,      -10.24647526
          0,           0,           9,      -4.090136745,      -3.128626269,      -3.167203077,      -2.043067986,      -10.22816878
          0,           0,          10,      -4.060123312,        -3.1471091,      -3.204796039,      -2.012592182,      -10.20217177
          0,           0,          11,      -4.028906172,      -3.171861678,       -3.23722082,      -1.981222558,      -10.16987894
          0,           0,          12,      -4.002665915,      -3.196825822,      -3.259444385,      -1.954978782,      -10.13970202
          0,           0,          13,      -3.985007819,       -3.21538646,      -3.268583167,       -1.93734297,      -10.11528146
          0,           0,          14,       -3.97741727,      -3.222308946,      -3.264120197,      -1.929755015,      -10.09844758
          0,           0,          15,      -3.979782288,      -3.216055997,      -3.247876464,      -1.932110655,      -10.08833973
          0,           0,          16,      -3.990817789,      -3.199207706,      -3.223529653,      -1.943166485,      -10.08212993
          0,           0,          17,      -4.008085697,      -3.176637178,      -3.195637605,      -1.960549844,      -10.07750318
          0,           0,          18,      -4.027680177,      -3.153285736,      -3.168593269,      -1.980428543,      -10.07116395
          0,           0,          19,       -4.04418279,      -3.132942654,      -3.145933343,      -1.997426445,      -10.06062798
          0,           0,          20,      -4.051924428,      -3.117996264,      -3.130092141,      -2.005821986,      -10.04520722
          0,           0,          21,      -4.047750516,      -3.109608402,      -3.122425042,      -2.002294297,      -10.02567698
          0,           0,          22,      -4.033062971,      -3.107952443,       -3.12329168,      -1.988068024,      -10.00367188
          0,           0,          23,      -4.012726752,      -3.112319842,      -3.132000173,      -1.967935892,      -9.981745966
          0,           0,          24,      -3.992165158,      -3.121049115,      -3.146537189,      -1.947351982,      -9.961461903
          0,           0,          25,       -3.97542988,       -3.13143635,      -3.163188419,      -1.930433577,      -9.943463638
          0,           0,          26,      -3.964837496,      -3.139852584,      -3.176552597,      -1.919555314,       -9.92807369
          0,           0,          27,      -3.961307476,      -3.142499461,       -3.18089947,      -1.915681749,      -9.914874972
          0,           0,          28,      -3.964714587,      -3.136898471,      -3.173074908,      -1.918729714,      -9.903531354
          0,           0,          29,      -3.974038082,       -3.12323755,      -3.154682729,      -1.927728496,      -9.892896543
          0,           0,          30,      -3.987347552,      -3.104333195,      -3.130996496,      -1.940810237,       -9.88347171
          0,           0,          31,      -4.001809197,      -3.084232214,      -3.107911624,      -1.955205664,      -9.873446353
          0,           0,          32,      -4.014018942,      -3.066711029,      -3.089873807,      -1.967543603,       -9.86350007
          0,           0,          33,      -4.020926571,      -3.054518302,      -3.079431348,      -1.974731511,      -9.852592604
          0,           0,          34,      -4.021118393,      -3.049266581,      -3.077498967,      -1.975230036,      -9.841243607
          0,           0,          35,      -4.015548252,      -3.051536966,      -3.083600606,      -1.969844541,      -9.830069869
          0,           0,          36,      -4.007030265,      -3.060946747,      -3.095870991,      -1.961298627,      -9.819235719
