"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          63,       -6.58968428,      -4.834556669,      -5.474452135,      -4.820220972,       -8.37553509
          0,           0,          64,      -6.602140771,      -4.839649953,      -5.483924719,      -4.825977822,      -8.358509256
          0,           0,          65,      -6.614217939,      -4.844910429,      -5.493407656,      -4.831797364,      -8.341582424
          0,           0,          66,      -6.625813295,      -4.850335773,      -5.502908073,      -4.837659991,      -8.324773343
          0,           0,          67,       -6.63683164,      -4.855923656,      -5.512437081,      -4.843553358,      -8.308092338
          0,           0,          68,      -6.647212156,      -4.861670958,      -5.522011004,      -4.849477183,       -8.29152081
          0,           0,          69,      -6.656947952,      -4.867573341,      -5.531650891,      -4.855444229,      -8.275091397
          0,           0,          70,      -6.666086159,      -4.873625162,      -5.541382465,      -4.861477146,      -8.258820009
          0,           0,          71,      -6.674703052,      -4.879819506,      -5.551234444,      -4.867600165,      -8.242706873
          0,           0,          72,      -6.682873067,       -4.88614855,      -5.561235514,      -4.873832149,      -8.226767741
          0,           0,          73,      -6.690644862,      -4.892603911,      -5.571412124,      -4.880181955,      -8.211008072
          0,           0,          74,      -6.698031211,      -4.899176752,      -5.581786325,      -4.886646755,      -8.195410734
          0,           0,          75,      -6.705018158,      -4.905858089,      -5.592373567,      -4.893215529,      -8.179964843
          0,           0,          76,      -6.711584643,      -4.912638879,      -5.603182244,       -4.89987398,      -8.164695323
          0,           0,          77,      -6.717721813,      -4.919509908,      -5.614213469,      -4.906608664,      -8.149606499
          0,           0,          78,      -6.723447606,      -4.926461965,      -5.625461361,      -4.913411229,      -8.134709418
          0,           0,          79,      -6.728810581,      -4.933485977,      -5.636913932,      -4.920279707,      -8.120012582
          0,           0,          80,      -6.733881897,      -4.940573189,       -5.64855433,       -4.92721734,      -8.105514322
          0,           0,          81,      -6.738740624,      -4.947715149,      -5.660362403,      -4.934229525,      -8.091222474
          0,           0,          82,      -6.743458963,       -4.95490409,       -5.67231548,      -4.941321215,      -8.077144197
          0,           0,          83,       -6.74809083,      -4.962133056,      -5.684390356,      -4.948494323,      -8.063229954
          0,           0,          84,      -6.752666064,      -4.969396009,      -5.696564748,      -4.955746228,      -8.049481293
          0,           0,          85,       -6.75719062,      -4.976687667,      -5.708818898,      -4.963069495,      -8.035919491
          0,           0,          86,      -6.761651166,      -4.984003599,       -5.72113604,       -4.97045315,       -8.02254498
          0,           0,          87,      -6.766022884,      -4.991339998,      -5.733503474,      -4.977884394,      -8.009360186
          0,           0,          88,      -6.770276781,      -4.998693495,      -5.745912813,      -4.985350245,      -7.996364918
          0,           0,          89,      -6.774386633,      -5.006061017,      -5.758359815,      -4.992839182,      -7.983563432
          0,           0,          90,       -6.77833434,      -5.013439569,      -5.770843837,      -5.000342296,      -7.970956726
          0,           0,          91,       -6.78211282,      -5.020826207,       -5.78336666,      -5.007853943,      -7.958544595
          0,           0,          92,      -6.785726883,      -5.028217976,      -5.795931528,      -5.015371735,      -7.946322934
          0,           0,          93,      -6.789191113,      -5.035611883,      -5.808541951,      -5.022895785,      -7.934293953
          0,           0,          94,       -6.79252548,      -5.043004924,      -5.821200594,      -5.030427561,      -7.922450209
          0,           0,          95,       -6.79575083,      -5.050394137,      -5.833908424,      -5.037968677,       -7.91079452
          0,           0,          96,      -6.798884806,      -5.057776634,      -5.846664182,      -5.045519728,      -7.899321239
          0,           0,          97,       -6.80193919,      -5.065149661,      -5.859463962,      -5.053079538,      -7.887998763
          0,           0,          98,      -6.804918969,      -5.072510676,       -5.87230114,      -5.060644853,      -7.876836512
          0,           0,          99,      -6.807822816,      -5.079857316,      -5.885167082,      -5.068210371,      -7.865848293
          0,           0,         100,      -6.810644099,      -5.087187372,      -5.898050798,      -5.075769004,      -7.855029313
          0,           0,         101,      -6.813372821,      -5.094498781,      -5.910940453,      -5.083312442,       -7.84439279
          0,           0,         102,      -6.815997053,      -5.101789537,      -5.923823921,      -5.090831719,      -7.833944489
          0,           0,         103,      -6.818503916,       -5.10905761,      -5.936689514,      -5.098317688,      -7.823685557
          0,           0,         104,      -6.820879829,      -5.116300845,       -5.94952646,      -5.105761255,      -7.813628013
          0,           0,         105,      -6.823110449,      -5.123516875,      -5.962325129,       -5.11315352,      -7.803784149
          0,           0,         106,      -6.825180569,      -5.130702997,      -5.975076992,      -5.120485736,      -7.794158533
          0,           0,         107,      -6.827073952,      -5.137856109,      -5.987774231,      -5.127749286,      -7.784776445
          0,           0,         108,      -6.828773649,      -5.144972645,      -6.000409041,      -5.134935624,      -7.775641301
          0,           0,         109,      -6.830262638,      -5.152048533,      -6.012972632,      -5.142036206,      -7.766778867
          0,           0,         110,      -6.831524688,      -5.159079162,      -6.025454187,      -5.149042523,      -7.758206735
          0,           0,         111,      -6.832545502,      -5.166059411,      -6.037839722,      -5.155946192,      -7.749937635
          0,           0,         112,      -6.833313682,       -5.17298365,      -6.050110953,      -5.162739058,      -7.742007816
          0,           0,         113,      -6.833821612,      -5.179845758,      -6.062244145,      -5.169413302,      -7.734416586
          0,           0,         114,      -6.834065938,      -5.186639226,      -6.074208957,      -5.175961534,      -7.727207835
          0,           0,         115,       -6.83404771,      -5.193357176,      -6.085967496,      -5.182376823,      -7.720391319
          0,           0,         116,      -6.833772328,      -5.199992451,      -6.097473217,      -5.188652678,      -7.713983495
          0,           0,         117,      -6.833249232,      -5.206537701,      -6.108670205,      -5.194783029,      -7.708012804
          0,           0,         118,      -6.832491577,      -5.212985474,      -6.119492798,      -5.200762266,      -7.702474684
          0,           0,         119,       -6.83151586,      -5.219328363,      -6.129865539,      -5.206585334,      -7.697393645
          0,           0,         120,      -6.830341598,      -5.225559337,      -6.139704041,      -5.212248005,      -7.692781195
          0,           0,         121,       -6.82899067,      -5.231671445,      -6.148916024,       -5.21774668,      -7.688625417
          0,           0,         122,      -6.827487174,      -5.237658103,      -6.157403247,      -5.223078253,      -7.684950147
          0,           0,         123,      -6.825857241,      -5.243513381,      -6.165065086,      -5.228240571,      -7.681756821
          0,           0,         124,      -6.824128681,      -5.249232167,      -6.171802438,      -5.233232697,      -7.679028516
          0,           0,         125,      -6.822330626,      -5.254810405,      -6.177522738,      -5.238054997,      -7.676765104
