"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.714995161,      -13.22709349,      -13.26708675,      -1.667287729,      -8.979592347
          0,           0,           1,      -4.322811417,      -3.120631968,      -3.261075934,      -2.272563771,      -9.304031053
          0,           0,           2,      -4.356438276,      -3.201412163,      -3.487972753,       -2.30288576,       -9.84213749
          0,           0,           3,      -4.361627742,      -3.265460238,      -3.585728805,      -2.309613854,      -10.01019324
          0,           0,           4,      -4.436642623,      -3.303068858,      -3.526097198,      -2.388419369,      -10.13729605
          0,           0,           5,      -4.516759529,      -3.325674056,      -3.507139404,      -2.475257978,      -10.26762648
          0,           0,           6,      -4.552294621,      -3.348462625,      -3.524700885,      -2.515740169,       -10.3335589
          0,           0,           7,      -4.532375541,      -3.381060467,      -3.565347026,      -2.494099732,      -10.37911549
          0,           0,           8,      -4.493955578,      -3.426040901,      -3.620633365,      -2.451730548,      -10.41170857
          0,           0,           9,      -4.465006913,      -3.478637914,      -3.675820879,      -2.420184929,       -10.4381952
          0,           0,          10,      -4.452057481,      -3.525592968,      -3.705673022,      -2.406382408,      -10.47243225
          0,           0,          11,      -4.451220734,      -3.550570764,      -3.695996844,      -2.406012429,      -10.49155565
          0,           0,          12,       -4.45505234,      -3.549287862,      -3.662974226,      -2.411056026,      -10.50589795
          0,           0,          13,      -4.456876509,      -3.534066395,       -3.62951584,      -2.414177494,      -10.51679415
          0,           0,          14,      -4.453902366,       -3.51915197,       -3.60594051,      -2.412053999,      -10.52686548
          0,           0,          15,      -4.447080501,      -3.511606947,      -3.592665297,      -2.405457089,      -10.53945173
          0,           0,          16,      -4.438177451,      -3.512497102,      -3.586233163,      -2.396252165,      -10.55366694
          0,           0,          17,      -4.427589036,      -3.519944299,      -3.583051157,      -2.385011501,      -10.56433013
          0,           0,          18,       -4.41462094,      -3.530994417,      -3.581118458,      -2.371214044,      -10.56670881
          0,           0,          19,      -4.399089952,      -3.542395781,      -3.579909106,      -2.354847791,      -10.56431656
          0,           0,          20,      -4.382292921,      -3.550692396,      -3.579080819,      -2.337357174,      -10.55968373
          0,           0,          21,      -4.366499346,      -3.552556918,      -3.577309295,      -2.321094169,      -10.55477436
          0,           0,          22,      -4.353712478,      -3.545758841,      -3.572279129,      -2.308067064,      -10.55037641
          0,           0,          23,      -4.344757015,      -3.530384752,      -3.561984651,      -2.299043817,      -10.54647616
          0,           0,          24,      -4.339046586,      -3.509099963,      -3.546368828,      -2.293337545,      -10.54170734
          0,           0,          25,      -4.334903332,      -3.486029469,      -3.527755573,      -2.289143159,      -10.53193251
          0,           0,          26,      -4.330275455,      -3.465256004,      -3.509723872,      -2.284287921,      -10.51545518
          0,           0,          27,      -4.323640322,      -3.449929394,      -3.495572744,       -2.27718678,      -10.49459296
          0,           0,          28,      -4.314683234,      -3.441964055,      -3.487391363,      -2.267559718,      -10.47120465
          0,           0,          29,        -4.3043558,      -3.442037859,      -3.485756839,      -2.256475268,      -10.44742191
          0,           0,          30,      -4.294342169,      -3.449478933,      -3.489655686,      -2.245758571,      -10.42552472
          0,           0,          31,      -4.286357644,      -3.461931507,      -3.496425771,      -2.237236297,      -10.40636582
          0,           0,          32,      -4.281652059,       -3.47499231,      -3.501932319,      -2.232217677,      -10.39039346
          0,           0,          33,      -4.280795868,      -3.482600466,      -3.501548551,      -2.231280644,      -10.37713317
          0,           0,          34,      -4.283645233,      -3.479261017,      -3.492169743,      -2.234241859,      -10.36467943
          0,           0,          35,      -4.289386337,      -3.463472063,      -3.474069657,      -2.240203754,      -10.35285164
          0,           0,          36,      -4.296641389,      -3.438961327,       -3.45077572,      -2.247666041,      -10.34125246
          0,           0,          37,      -4.303693426,       -3.41219767,      -3.427114566,      -2.254771308,      -10.33089819
          0,           0,          38,       -4.30889253,      -3.389176813,      -3.407324451,      -2.259756102,      -10.32212955
          0,           0,          39,      -4.311193587,      -3.374033701,      -3.394260985,      -2.261543817,      -10.31441929
          0,           0,          40,      -4.310595362,      -3.369132742,      -3.389367588,      -2.260208533,      -10.30810467
          0,           0,          41,      -4.308207606,      -3.375519765,       -3.39281221,      -2.257007702,      -10.30280812
          0,           0,          42,      -4.305897324,      -3.393142416,      -3.403469764,      -2.253958937,      -10.29767432
          0,           0,          43,       -4.30574416,      -3.420632609,      -3.418714181,      -2.253242709,      -10.29341124
          0,           0,          44,      -4.309576383,      -3.454586172,      -3.434286308,      -2.256725605,      -10.29047541
          0,           0,          45,      -4.318691722,      -3.488631596,      -3.444894964,      -2.265694651,      -10.28766192
          0,           0,          46,      -4.333708487,      -3.513722999,      -3.446164703,      -2.280726616,       -10.2860594
          0,           0,          47,      -4.354443146,      -3.522009767,      -3.437104969,      -2.301577533,      -10.28806815
          0,           0,          48,      -4.379748301,      -3.512755113,      -3.420734034,      -2.327026505,      -10.28907425
          0,           0,          49,      -4.407347457,      -3.492978815,      -3.402135779,      -2.354717585,      -10.29133154
          0,           0,          50,      -4.433882637,      -3.471877445,      -3.386057363,      -2.381227335,      -10.29438022
          0,           0,          51,       -4.45556279,      -3.456335743,      -3.375757394,      -2.402750563,      -10.29465144
          0,           0,          52,      -4.469589044,      -3.450220975,      -3.372938832,       -2.41655413,      -10.29572362
          0,           0,          53,      -4.475649663,      -3.455284541,      -3.378019528,      -2.422443402,      -10.29478805
          0,           0,          54,      -4.476189024,      -3.471990723,      -3.390313647,      -2.422953564,      -10.29365166
          0,           0,          55,      -4.475194761,      -3.499853273,      -3.408035008,      -2.422088588,      -10.29380992
          0,           0,          56,      -4.476662966,      -3.537274041,      -3.428247518,      -2.423802195,      -10.29320081
          0,           0,          57,      -4.483737078,      -3.580928813,       -3.44708598,      -2.431175689,      -10.29650063
          0,           0,          58,       -4.49853788,      -3.624984981,      -3.460658893,      -2.446273291,      -10.29951664
          0,           0,          59,      -4.522262149,      -3.661297633,      -3.466604562,      -2.470249586,      -10.30547109
          0,           0,          60,      -4.555195818,      -3.682464138,      -3.465301964,      -2.503365435,      -10.31338334
          0,           0,          61,      -4.596414319,      -3.686850458,      -3.459595338,      -2.544695453,      -10.31970574
          0,           0,          62,      -4.643018854,      -3.679868708,      -3.453307241,      -2.591384737,      -10.32755972
          0,           0,          63,      -4.689065617,      -3.669681647,      -3.449827789,      -2.637610561,      -10.33400209
          0,           0,          64,      -4.725498932,      -3.662887269,      -3.451467953,      -2.674510099,      -10.33900017
          0,           0,          65,      -4.743751479,      -3.663322843,      -3.459389034,      -2.693636942,      -10.34297563
          0,           0,          66,      -4.742280668,      -3.672605369,      -3.473712786,      -2.693316163,      -10.34537999
          0,           0,          67,      -4.728163292,      -3.690818879,      -3.493590506,      -2.680354377,      -10.34721334
          0,           0,          68,      -4.711341487,      -3.716846017,      -3.517207667,      -2.664543753,      -10.34809726
          0,           0,          69,      -4.699428118,      -3.748390011,      -3.541861434,      -2.653501298,       -10.3490611
          0,           0,          70,      -4.696721973,      -3.781954135,      -3.564368648,      -2.651589579,      -10.34896372
          0,           0,          71,      -4.705120229,      -3.813238929,       -3.58198636,       -2.66076624,      -10.34799831
          0,           0,          72,      -4.724942787,      -3.838391004,      -3.593557346,      -2.681383974,      -10.34715127
          0,           0,          73,       -4.75514121,      -3.855763447,      -3.600074713,      -2.712381592,      -10.34543081
          0,           0,          74,      -4.792891662,      -3.866773406,      -3.604158638,      -2.750847955,       -10.3428352
          0,           0,          75,      -4.832831014,      -3.874933467,      -3.608904874,      -2.791231507,      -10.34011539
          0,           0,          76,      -4.866971095,      -3.883978523,      -3.616921773,      -2.825313043,      -10.33695151
          0,           0,          77,      -4.887310228,      -3.896486282,       -3.62987972,      -2.845059068,      -10.33298897
          0,           0,          78,      -4.891071058,      -3.913335757,      -3.648413455,      -2.848059268,      -10.32938165
          0,           0,          79,      -4.882999228,      -3.933656174,      -3.672136939,      -2.839558823,      -10.32650079
          0,           0,          80,      -4.871455933,      -3.955053751,       -3.69966612,      -2.828154938,      -10.32362403
          0,           0,          81,      -4.863563315,      -3.974275216,       -3.72871566,       -2.82093372,      -10.32127273
          0,           0,          82,      -4.863532629,      -3.988503508,      -3.756467699,      -2.821968276,      -10.31945011
          0,           0,          83,      -4.873066626,      -3.996858905,       -3.78037539,      -2.832802378,      -10.31774385
          0,           0,          84,      -4.892014305,      -4.001001654,       -3.79919917,      -2.853090903,       -10.3161128
          0,           0,          85,      -4.918638125,      -4.004300241,      -3.813613089,      -2.880814448,      -10.31454102
          0,           0,          86,      -4.949579733,      -4.010364375,      -3.825869313,      -2.912215035,      -10.31273278
          0,           0,          87,      -4.980018333,      -4.021972597,       -3.83880239,      -2.942052093,      -10.31049756
          0,           0,          88,      -5.004793676,      -4.040616906,      -3.854880582,      -2.965038961,      -10.30786194
          0,           0,          89,      -5.020708371,      -4.066335555,      -3.875675375,      -2.978455973,      -10.30498669
          0,           0,          90,       -5.02844522,      -4.097529337,      -3.901670474,      -2.983877422,      -10.30186625
          0,           0,          91,       -5.03205818,      -4.130769493,      -3.932212809,      -2.986062066,      -10.29845004
          0,           0,          92,      -5.036603841,      -4.161073744,      -3.965533705,      -2.990279603,      -10.29504356
          0,           0,          93,      -5.046160233,      -4.183429279,      -3.998960959,      -3.000474417,      -10.29162755
          0,           0,          94,      -5.063102101,      -4.195434948,      -4.029553495,      -3.018762149,       -10.2880667
          0,           0,          95,      -5.088074379,      -4.198911335,      -4.055192437,      -3.045491245,      -10.28447171
          0,           0,          96,      -5.120022654,      -4.198656348,      -4.075602456,      -3.079244558,      -10.28098838
          0,           0,          97,      -5.156091329,      -4.199772917,      -4.092498536,      -3.116673908,       -10.2775452
          0,           0,          98,      -5.191708265,      -4.205914338,      -4.108715379,      -3.152619391,      -10.27428868
          0,           0,          99,      -5.221616409,      -4.218850476,      -4.127027813,      -3.181439341,      -10.27125636
          0,           0,         100,      -5.242244748,      -4.238603743,      -4.149332986,      -3.199826489,      -10.26847896
          0,           0,         101,      -5.253961536,      -4.263615464,      -4.176294721,      -3.209046071,      -10.26575869
          0,           0,         102,      -5.260847192,      -4.290909474,      -4.207254083,      -3.214064801,      -10.26319861
          0,           0,         103,      -5.268250266,      -4.316588466,      -4.240300821,      -3.220618291,      -10.26074559
          0,           0,         104,      -5.280572702,      -4.337036458,      -4.272625994,      -3.233060062,      -10.25851373
          0,           0,         105,       -5.30040436,      -4.350550692,      -4.301365477,       -3.25374565,      -10.25642034
          0,           0,         106,      -5.328443078,       -4.35819749,      -4.324820845,      -3.283090143,      -10.25437262
          0,           0,         107,      -5.363466489,      -4.363046218,      -4.343334187,      -3.319549181,      -10.25236502
          0,           0,         108,      -5.402132717,      -4.368515408,      -4.359072641,      -3.359382713,      -10.25027806
          0,           0,         109,      -5.439036829,      -4.377091496,      -4.374900288,       -3.39675195,      -10.24807023
          0,           0,         110,      -5.468064703,      -4.389819665,      -4.393192625,      -3.425321546,      -10.24581676
          0,           0,         111,      -5.485485209,       -4.40628899,      -4.415127293,      -3.441662645,      -10.24351698
          0,           0,         112,      -5.492525422,      -4.424850882,      -4.440424525,       -3.44769553,      -10.24123064
          0,           0,         113,      -5.494442053,       -4.44306627,      -4.467387037,      -3.449213887,      -10.23896492
          0,           0,         114,      -5.497244464,      -4.458477819,      -4.493289651,      -3.452339603,      -10.23672687
          0,           0,         115,      -5.505357528,      -4.469574172,      -4.515295837,      -3.461326308,      -10.23430966
          0,           0,         116,      -5.521047265,      -4.476430664,      -4.531763747,      -3.478168864,      -10.23188465
          0,           0,         117,      -5.544616179,      -4.480549744,      -4.543173259,       -3.50286544,      -10.22949105
          0,           0,         118,      -5.574581138,      -4.484040498,      -4.551906775,      -3.533595062,      -10.22711189
          0,           0,         119,      -5.607712888,      -4.488731197,      -4.561106214,      -3.566785353,      -10.22482972
          0,           0,         120,      -5.639348767,      -4.495631352,      -4.573515731,      -3.597574068,      -10.22261725
          0,           0,         121,      -5.664661027,      -4.504778233,      -4.590840392,      -3.621328214,      -10.22043694
          0,           0,         122,      -5.680902315,      -4.515351202,      -4.613537629,      -3.635952792,      -10.21837025
          0,           0,         123,      -5.689013458,      -4.525980287,      -4.640787626,      -3.643114618,      -10.21630194
          0,           0,         124,       -5.69289625,      -4.535215474,      -4.670550316,      -3.647044822,      -10.21429643
          0,           0,         125,      -5.697158913,      -4.542056221,      -4.699853324,      -3.652224416,      -10.21230002
          0,           0,         126,       -5.70537036,      -4.546326342,      -4.725565784,      -3.661863643,      -10.21038358
          0,           0,         127,      -5.719490786,      -4.548694126,      -4.745630409,      -3.677509141,      -10.20852065
          0,           0,         128,      -5.739961561,      -4.550344803,      -4.760077136,      -3.699182786,      -10.20667056
          0,           0,         129,      -5.765930234,      -4.552519407,      -4.770976774,      -3.725607577,      -10.20489632
          0,           0,         130,      -5.795461132,      -4.556144592,      -4.781382782,       -3.75446313,      -10.20319305
          0,           0,         131,      -5.825856047,      -4.561646116,      -4.794136024,      -3.782852527,      -10.20145437
          0,           0,         132,       -5.85429066,      -4.568927619,      -4.811165201,      -3.808144274,      -10.19968889
          0,           0,         133,      -5.878763584,      -4.577465644,      -4.833273752,      -3.828989485,       -10.1979096
          0,           0,         134,      -5.898907633,      -4.586483245,      -4.860151159,      -3.845881989,      -10.19618082
          0,           0,         135,      -5.916057678,      -4.595170007,      -4.890444958,      -3.860802658,      -10.19443373
          0,           0,         136,      -5.932516881,      -4.602900058,      -4.921911745,      -3.876249397,      -10.19271931
          0,           0,         137,      -5.950593889,      -4.609381872,      -4.951793484,       -3.89433623,      -10.19105231
          0,           0,         138,      -5.971946029,        -4.6146869,      -4.977528402,      -3.916317337,      -10.18940014
          0,           0,         139,      -5.997333374,      -4.619155747,      -4.997612386,      -3.942476093,      -10.18780992
          0,           0,         140,      -6.026636976,      -4.623236692,      -5.012092692,      -3.972207972,      -10.18625335
          0,           0,         141,      -6.059001411,      -4.627330797,      -5.022313904,      -4.004208064,      -10.18469469
          0,           0,         142,      -6.093048843,      -4.631695741,      -5.030142606,      -4.036760505,      -10.18321322
          0,           0,         143,      -6.127154176,      -4.636423427,       -5.03724079,      -4.068125921,      -10.18169335
          0,           0,         144,      -6.159739352,      -4.641477751,      -5.044725532,      -4.096928077,      -10.18023504
          0,           0,         145,      -6.189485005,      -4.646765005,      -5.053186032,      -4.122353621,      -10.17884403
          0,           0,         146,       -6.21536725,      -4.652206398,      -5.062876002,      -4.144048511,      -10.17746476
          0,           0,         147,      -6.236558898,      -4.657787031,      -5.073917513,      -4.161820709,      -10.17615414
          0,           0,         148,      -6.252388768,       -4.66356695,      -5.086416687,      -4.175431439,      -10.17491285
          0,           0,         149,       -6.26254188,      -4.669654863,      -5.100453496,      -4.184695597,      -10.17365925
          0,           0,         150,      -6.267444005,      -4.676158107,      -5.115960238,      -4.189850333,      -10.17236751
          0,           0,         151,      -6.268515419,       -4.68312866,      -5.132542088,      -4.191896582,      -10.17112217
          0,           0,         152,      -6.268021887,      -4.690523531,      -5.149320837,      -4.192613081,      -10.16984586
          0,           0,         153,      -6.268585693,      -4.698191488,      -5.164908082,      -4.194211983,       -10.1686154
          0,           0,         154,      -6.272651041,      -4.705890324,      -5.177622167,      -4.198859517,      -10.16738133
          0,           0,         155,      -6.282112309,      -4.713331175,      -5.185988466,      -4.208282179,      -10.16615371
          0,           0,         156,      -6.298099273,      -4.720239073,      -5.189355535,      -4.223508698,      -10.16496347
          0,           0,         157,      -6.320785559,      -4.726413356,       -5.18826049,      -4.244663359,      -10.16376935
          0,           0,         158,      -6.349077527,      -4.731770241,      -5.184275113,       -4.27070402,      -10.16260873
          0,           0,         159,      -6.380144829,      -4.736355198,      -5.179447809,      -4.299093304,      -10.16144923
          0,           0,         160,      -6.409080509,      -4.740323561,      -5.175704312,       -4.32565099,      -10.16031186
          0,           0,         161,      -6.429582999,      -4.743898637,      -5.174463297,      -4.345220009,      -10.15914658
          0,           0,         162,      -6.436576882,      -4.747322593,      -5.176491587,      -4.353670929,      -10.15800591
          0,           0,         163,      -6.429474805,      -4.750814048,      -5.181907478,      -4.350280916,      -10.15691215
          0,           0,         164,      -6.412570455,      -4.754540558,      -5.190251159,      -4.338164687,      -10.15580076
          0,           0,         165,      -6.392078198,      -4.758607218,      -5.200595466,      -4.322270682,       -10.1547329
          0,           0,         166,      -6.373217588,      -4.763058162,      -5.211712293,      -4.307091067,      -10.15368534
          0,           0,         167,      -6.359248225,      -4.767885575,      -5.222315071,      -4.295647755,      -10.15265594
          0,           0,         168,      -6.351762543,      -4.773041122,      -5.231356555,      -4.289530201,      -10.15167423
          0,           0,         169,      -6.351241703,      -4.778446349,      -5.238294079,      -4.289281141,       -10.1507257
          0,           0,         170,      -6.357473369,       -4.78400076,      -5.243203899,      -4.294752444,      -10.14978799
          0,           0,         171,      -6.369789615,      -4.789588294,      -5.246686141,      -4.305345239,      -10.14885004
          0,           0,         172,      -6.387182534,      -4.795084072,      -5.249616063,      -4.320159561,      -10.14795172
          0,           0,         173,      -6.408360696,      -4.800363464,       -5.25286556,      -4.338097269,      -10.14709613
          0,           0,         174,      -6.431799495,      -4.805314499,      -5.257096234,      -4.357951548,       -10.1462407
          0,           0,         175,      -6.455828485,      -4.809852801,      -5.262659219,      -4.378498707,      -10.14537488
          0,           0,         176,      -6.478781772,      -4.813936343,      -5.269588247,      -4.398590088,      -10.14454455
          0,           0,         177,      -6.499204082,      -4.817576161,      -5.277657745,      -4.417230372,      -10.14370009
          0,           0,         178,      -6.516061141,      -4.820839426,      -5.286481165,      -4.433630411,      -10.14288308
          0,           0,         179,      -6.528878361,      -4.823843013,      -5.295628594,      -4.447237497,      -10.14207882
          0,           0,         180,      -6.537756403,       -4.82673817,       -5.30474084,      -4.457760244,      -10.14129225
          0,           0,         181,      -6.543274023,      -4.829689258,      -5.313614131,      -4.465202104,      -10.14051174
          0,           0,         182,      -6.546335946,       -4.83285073,      -5.322233869,      -4.469894778,       -10.1397551
          0,           0,         183,      -6.548023634,      -4.836346494,      -5.330750779,       -4.47250103,      -10.13902969
          0,           0,         184,      -6.549476936,      -4.840254807,      -5.339412106,      -4.473959899,      -10.13833188
          0,           0,         185,       -6.55180833,      -4.844600401,      -5.348473561,       -4.47537623,      -10.13761353
          0,           0,         186,      -6.556041937,      -4.849354315,      -5.358118473,      -4.477885244,      -10.13692497
          0,           0,         187,       -6.56306985,      -4.854440847,      -5.368402542,      -4.482528896,      -10.13626405
          0,           0,         188,      -6.573619511,      -4.859750344,      -5.379232534,      -4.490164858,      -10.13560753
          0,           0,         189,      -6.588224698,      -4.865155917,      -5.390380088,      -4.501407434,      -10.13494934
          0,           0,         190,      -6.607189985,      -4.870531688,       -5.40152718,      -4.516585544,      -10.13429951
          0,           0,         191,      -6.630536004,      -4.875769882,      -5.412335341,      -4.535699021,      -10.13362476
          0,           0,         192,      -6.657912809,      -4.880794165,      -5.422524968,      -4.558359087,      -10.13296246
          0,           0,         193,       -6.68847595,      -4.885567269,      -5.431945743,      -4.583712341,      -10.13232487
          0,           0,         194,      -6.720745752,      -4.890091995,      -5.440618675,      -4.610374543,      -10.13171239
          0,           0,         195,      -6.752530291,       -4.89440605,      -5.448737604,      -4.636444354,      -10.13110993
          0,           0,         196,      -6.781079839,      -4.898572158,      -5.456631273,      -4.659708333,       -10.1305083
          0,           0,         197,      -6.803660192,      -4.902665739,      -5.464699397,      -4.678118064,      -10.12993041
          0,           0,         198,      -6.818497297,      -4.906762375,      -5.473341311,      -4.690440326,       -10.1293771
          0,           0,         199,      -6.825582227,      -4.910926961,      -5.482892763,      -4.696737845,      -10.12884515
          0,           0,         200,      -6.826701679,      -4.915205744,      -5.493579364,      -4.698340608,      -10.12830129
          0,           0,         201,      -6.824671216,      -4.919621826,      -5.505488851,      -4.697331848,      -10.12775983
          0,           0,         202,      -6.822389755,      -4.924174116,        -5.5185613,      -4.695908971,      -10.12724296
          0,           0,         203,      -6.822248561,      -4.928839386,      -5.532596325,      -4.695940682,      -10.12673259
          0,           0,         204,      -6.825963582,      -4.933576787,      -5.547277485,      -4.698791806,      -10.12621564
          0,           0,         205,      -6.834645733,      -4.938334082,      -5.562214465,      -4.705323534,      -10.12569688
          0,           0,         206,      -6.848932194,      -4.943054728,      -5.577001394,      -4.715957836,      -10.12519449
