"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.592875963,      -13.19022745,      -13.18683671,      -1.545168532,      -8.979475285
          0,           0,           1,      -4.198284534,      -3.120668363,      -3.088865634,      -2.148095835,      -9.302662466
          0,           0,           2,      -4.224918726,      -3.203598429,      -3.318940206,      -2.172275232,      -9.836331553
          0,           0,           3,      -4.219582101,      -3.264711471,      -3.467678453,      -2.168218272,      -10.00396162
          0,           0,           4,      -4.284151098,      -3.294131529,        -3.4203488,      -2.234770788,      -10.12932392
          0,           0,           5,      -4.358128878,      -3.305110369,      -3.395378175,      -2.312370166,       -10.2559041
          0,           0,           6,      -4.407920296,       -3.31465575,      -3.403663511,      -2.365603219,      -10.31960845
          0,           0,           7,      -4.416794187,      -3.332648198,        -3.4324808,      -2.374779876,      -10.36141392
          0,           0,           8,      -4.398166058,      -3.361459512,      -3.474214465,      -2.354186721,      -10.38718104
          0,           0,           9,      -4.373589323,      -3.397679391,      -3.519421114,      -2.327827183,       -10.4030252
          0,           0,          10,      -4.353327318,      -3.433296504,      -3.554118735,      -2.306816192,       -10.4198413
          0,           0,          11,      -4.338480537,       -3.45845605,      -3.567246686,      -2.292066894,      -10.42046136
          0,           0,          12,      -4.327365972,      -3.468211108,      -3.560666486,      -2.281453358,      -10.41616694
          0,           0,          13,      -4.318987573,      -3.466012546,      -3.544992221,      -2.273600171,      -10.41054976
          0,           0,          14,       -4.31366826,      -3.458993545,      -3.528458218,      -2.268633436,      -10.40734541
          0,           0,          15,      -4.312074011,       -3.45220429,      -3.513534171,      -2.267187563,      -10.40874223
          0,           0,          16,      -4.313970327,      -3.447267992,      -3.499470112,      -2.269078634,      -10.41417107
          0,           0,          17,      -4.317570751,      -3.443802442,      -3.485409273,      -2.272584494,      -10.41941604
          0,           0,          18,      -4.319858911,      -3.441047719,      -3.471864082,      -2.274741432,      -10.41991549
          0,           0,          19,      -4.317897711,      -3.438492902,      -3.460367542,      -2.272656023,       -10.4152112
