"Time_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
         12,           9,      -8.179721396,      -4.380639384,      -4.125524603,      -2.435801707,      -4.325234831,      0.9329898399,      0.5829668154,       1.475343629,                 0,                 0,                 0,      0.2415757343,      0.1261452063,       1.581321131,                 0,       2.530750619,      0.8164060723,      -2.795634643,      -1.565921111,      -1.305302203,      -2.531260204,      -2.428659679,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         13,           9,      -8.089330066,      -4.405187887,      -3.973366951,      -2.363279967,      -3.935417722,      0.9329898399,      0.5962323325,       1.435776588,                 0,                 0,                 0,      0.2513336526,      0.1503993665,       1.547361443,                 0,       2.408082404,      0.8163270245,      -2.709289737,      -1.608194695,      -1.172029243,      -2.464239003,      -2.051034935,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         14,           9,      -8.004057356,      -4.391007844,       -3.87619555,       -2.25249534,      -3.709641888,      0.9329898399,      0.5948006544,       1.352718603,                 0,                 0,                 0,      0.2439295881,      0.1733140507,       1.467514115,                 0,       2.274238593,      0.7702837366,      -2.626439629,      -1.609899158,      -1.093330404,        -2.3573319,      -1.843340935,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         15,           9,      -7.962978634,      -4.272666302,      -3.815582392,      -2.121298536,      -3.592870938,      0.9329898399,      0.5788061053,       1.227460629,                 0,                 0,                 0,      0.2190368456,      0.1946402748,       1.343052965,                 0,       2.120676713,      0.7170014816,      -2.586734345,      -1.506563639,      -1.050420328,      -2.228988171,      -1.746737241,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         16,           9,      -7.927204433,      -4.115394224,      -3.813893224,      -2.000755332,      -3.657205387,      0.9329898399,      0.5526271156,       1.074922746,                 0,                 0,                 0,      0.1840952209,      0.2142029433,       1.189526266,                 0,       1.945114012,      0.6333248038,      -2.551706539,      -1.364195491,      -1.065739573,      -2.110686469,      -1.839333554,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         17,           9,      -7.874164524,      -3.993635045,      -3.844466911,      -1.921724275,      -3.715755939,      0.9329898399,      0.5181229874,      0.9083884774,                 0,                 0,                 0,       0.141194664,      0.2298963893,       1.020180722,                 0,       1.753229445,      0.5825927054,       -2.49916768,      -1.258006451,      -1.112987604,      -2.033668332,      -1.937774505,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         18,           9,      -7.809706127,      -3.923529714,      -3.916325201,       -1.89673021,      -3.758438297,      0.9329898399,      0.4865970417,      0.7635859332,                 0,                 0,                 0,      0.1075451117,      0.2420841443,      0.8724880661,                 0,       1.569236694,      0.4964447808,      -2.435506348,       -1.20450531,      -1.202100921,      -2.010933144,      -2.032503344,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         19,           9,      -7.798175096,      -3.887419959,      -3.998878435,      -1.895568794,      -3.679433018,      0.9329898399,      0.4563458441,      0.6440639124,                 0,                 0,                 0,     0.07804915506,       0.248099637,       0.749343995,                 0,        1.41135045,      0.3476361484,      -2.425322292,      -1.185606652,      -1.303234633,      -2.012439196,      -2.017558839,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         20,           9,      -7.817878859,      -3.888717903,      -4.074868291,      -1.955348854,      -3.713579109,      0.9329898399,      0.4288893825,      0.5570261031,                 0,                 0,                 0,     0.05470445573,      0.2472902849,      0.6580818315,                 0,       1.298764031,      0.3475666168,      -2.447105711,      -1.204035637,      -1.399366975,      -2.075418511,      -2.112658873,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         21,           9,      -7.919672461,      -3.891952937,      -3.953327756,      -2.047154759,      -3.728120261,      0.9329898399,      0.4018689457,      0.4997890285,                 0,                 0,                 0,     0.03297082046,      0.2381850138,      0.5954457337,                 0,       1.243661731,      0.3346806829,      -2.552123838,      -1.223645967,      -1.299886135,      -2.171276429,      -2.176622483,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
