"Time_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
        106,           9,      -7.581227629,      -3.761522656,      -3.558471184,      -1.925340752,      -2.353049278,      0.9329898399,      0.1890389385,      0.4155599729,                 0,                 0,                 0,    -0.01716094411,     0.05928085828,      0.4526716152,                 0,       2.198277118,      0.8484782964,      -2.370952014,      -1.390013778,      -1.135387096,      -2.212588123,      -1.575610395,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        107,           9,      -7.570891655,      -3.779134114,      -3.539075634,      -1.951689023,       -2.35251343,      0.9329898399,      0.1808483279,      0.3774029545,                 0,                 0,                 0,    -0.02833070326,     0.06260417091,      0.4137871743,                 0,       2.086847907,      0.8485436222,      -2.357407478,      -1.404198422,      -1.110121207,      -2.236454884,      -1.572106871,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        108,           9,      -7.507093841,      -3.803056291,      -3.545314049,      -1.917396662,      -2.319764168,      0.9329898399,      0.1765016957,      0.3551391851,                 0,                 0,                 0,    -0.03190399912,     0.06495676207,      0.3912253934,                 0,       2.012100698,      0.8486071979,      -2.290678959,      -1.424649369,      -1.110135113,      -2.199890294,      -1.536698266,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        109,           9,      -7.499481778,      -3.820680717,       -3.53667048,      -1.915881987,      -2.306811472,      0.9329898399,       0.175781342,       0.356900423,                 0,                 0,                 0,    -0.02329082099,     0.06375294825,      0.3926990626,                 0,       2.030365789,      0.8409129406,      -2.280586655,      -1.438577492,      -1.095176561,      -2.196265471,      -1.521330538,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        110,           9,      -7.545240482,      -3.843431511,      -3.579216213,      -1.919860322,      -2.311324392,      0.9329898399,      0.1767777521,      0.3669263506,                 0,                 0,                 0,    -0.01273616038,     0.06177452245,      0.4025782269,                 0,       2.075636477,      0.8479228485,      -2.324089061,      -1.457403348,       -1.13196022,      -2.198207039,      -1.523798028,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        111,           9,      -7.542709058,      -3.851059073,      -3.675207705,      -1.896153759,       -2.33098949,      0.9329898399,      0.1809219041,      0.3952894344,                 0,                 0,                 0,    0.003666757389,     0.05744503152,      0.4309136116,                 0,       2.184862228,      0.8593138513,      -2.319515555,      -1.460975754,      -1.222887696,       -2.17254374,      -1.541379757,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        112,           9,      -7.547720129,      -3.865222454,      -3.736323722,      -1.890848319,      -2.344274865,      0.9329898399,      0.1824811998,      0.4114968712,                 0,                 0,                 0,     0.01093446642,      0.0541975975,      0.4468687545,                 0,       2.255009676,      0.8354961852,      -2.322672331,      -1.470929842,      -1.279671996,      -2.165292631,       -1.55235121,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        113,           9,      -7.517339891,      -3.897187871,      -3.773807002,      -1.869528155,      -2.367341593,      0.9329898399,      0.1816025178,      0.4184693671,                 0,                 0,                 0,     0.01165729677,     0.05131874925,      0.4532796837,                 0,       2.304314787,      0.8355500577,      -2.290363333,      -1.498439626,      -1.313534245,      -2.141948771,      -1.572478315,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        114,           9,      -7.552398037,      -3.944048574,      -3.933005324,      -1.887696226,      -2.464237098,      0.9329898399,      0.1771400926,      0.4036830891,                 0,                 0,                 0,    0.003082716047,      0.0513744001,      0.4378348089,                 0,       2.278891713,      0.8303281422,      -2.323404068,      -1.540413458,      -1.469481243,      -2.158063933,      -1.665939045,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        115,           9,       -7.66376269,      -4.000173568,      -3.968798506,       -1.98207213,      -2.594984721,      0.9329898399,      0.1710288952,      0.3813993811,                 0,                 0,                 0,   -0.007680793279,     0.05204535864,      0.4147380517,                 0,       2.230028912,      0.7981851905,      -2.432753136,      -1.591241846,       -1.50202889,      -2.250451462,      -1.793479716,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        116,           9,      -7.714688423,      -4.068764498,      -3.956964623,      -2.066125991,      -2.657399106,      0.9329898399,      0.1650553259,      0.3546974509,                 0,                 0,                 0,    -0.01788869939,     0.05413969479,      0.3874563662,                 0,       2.148960956,      0.7982325621,      -2.481962228,      -1.653935664,      -1.486364652,      -2.332686183,       -1.85243103,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        117,           9,      -7.719100301,      -4.112300284,      -3.947186559,      -2.107032131,      -2.667388551,      0.9329898399,       0.160816594,      0.3373395202,                 0,                 0,                 0,    -0.02220395049,     0.05516114307,      0.3696176092,                 0,       2.097666117,      0.7982776674,      -2.484702159,      -1.690851811,       -1.47222551,      -2.371843826,      -1.858839767,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        118,           9,      -7.701442578,      -4.140584458,      -3.902665777,      -2.116325798,        -2.6576526,      0.9329898399,      0.1583997587,      0.3291770692,                 0,                 0,                 0,    -0.02244179918,      0.0552363817,      0.3611052043,                 0,       2.078141229,      0.7956059236,      -2.465360579,      -1.711954217,      -1.422943738,      -2.379420297,      -1.845721223,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        119,           9,      -7.712425035,      -4.197382552,      -3.925277076,      -2.133207833,      -2.656329515,      0.9329898399,      0.1592185295,       0.341790615,                 0,                 0,                 0,    -0.01365089705,     0.05233153227,      0.3734069836,                 0,       2.146676119,       0.773312413,      -2.474819937,      -1.760828523,      -1.440349601,      -2.394589917,      -1.840760761,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        120,           9,      -7.741392472,      -4.228871618,      -3.931156124,      -2.157601407,      -2.624211799,      0.9329898399,      0.1612493771,      0.3613089392,                 0,                 0,                 0,   -0.004825783651,      0.0485670357,      0.3926662122,                 0,       2.240684248,        0.77122049,      -2.502239718,      -1.783895783,      -1.440852626,      -2.417273544,      -1.805538472,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        121,           9,      -7.797969097,      -4.244416309,      -4.010586975,      -2.187322839,      -2.644222317,      0.9329898399,      0.1639795957,      0.3877024675,                 0,                 0,                 0,     0.00481332911,     0.04346123591,      0.4187047075,                 0,       2.364333598,      0.7765297725,      -2.557293736,      -1.790705658,      -1.514726693,      -2.445333086,      -1.822484015,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        122,           9,      -7.744976302,      -4.207966843,      -3.957998384,      -2.147612696,      -2.618516737,      0.9329898399,      0.1654744328,       0.405684068,                 0,                 0,                 0,    0.008717329423,     0.03963344453,      0.4363376457,                 0,       2.451641992,      0.7428197066,      -2.502915141,       -1.74525124,      -1.456433627,       -2.40399992,      -1.794397014,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        123,           9,       -7.77371505,      -4.175198532,      -3.993124217,      -2.156306659,      -2.559462081,      0.9329898399,      0.1653439059,      0.4137092781,                 0,                 0,                 0,     0.00787272422,      0.0371622767,      0.4439740299,                 0,       2.502113857,      0.7428503485,      -2.530194589,      -1.703233562,      -1.485875515,      -2.411048745,      -1.733618619,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        124,           9,      -7.782987986,       -4.14078593,      -3.959260947,      -2.171480496,      -2.549178336,      0.9329898399,      0.1633169978,      0.4079306817,                 0,                 0,                 0,    0.001480389004,     0.03691343295,      0.4378553201,                 0,       2.497784597,      0.7368190648,       -2.53788502,      -1.659322478,      -1.446263363,        -2.4245706,       -1.72239974,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        125,           9,      -7.850594372,      -4.139670659,      -4.056090392,      -2.221467147,      -2.541524336,      0.9329898399,      0.1593823889,      0.3911461985,                 0,                 0,                 0,    -0.00809088666,     0.03805805571,      0.4206538706,                 0,       2.454136879,      0.7368446192,      -2.603893186,       -1.64850647,      -1.537160014,      -2.472933054,      -1.715150883,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        126,           9,      -7.861541591,      -4.148140771,      -4.075146999,      -2.224087129,      -2.582088252,      0.9329898399,      0.1561204882,      0.3724670615,                 0,                 0,                 0,     -0.0160861182,     0.04039993564,      0.4018372356,                 0,       2.385766697,      0.7368675915,      -2.613317095,      -1.647210778,      -1.550111829,       -2.47401238,      -1.757058242,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        127,           9,      -7.856724074,      -4.188084142,      -4.078102394,      -2.240338071,      -2.582438146,      0.9329898399,      0.1533386982,      0.3578643779,                 0,                 0,                 0,     -0.0209721983,     0.04200910811,      0.3870593031,                 0,       2.333816461,      0.7368879596,      -2.606989519,      -1.677477586,      -1.546974782,       -2.48883725,      -1.760564931,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        128,           9,      -7.863496064,      -4.255905069,      -4.066567695,      -2.275973486,      -2.581805348,      0.9329898399,      0.1521279887,      0.3496323187,                 0,                 0,                 0,    -0.02220522298,      0.0432581221,      0.3788329686,                 0,       2.298277402,      0.7369057039,      -2.612331827,      -1.736014232,      -1.529369491,       -2.52322085,      -1.765069537,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        129,           9,      -7.852729825,      -4.359706389,      -4.135600098,      -2.295905148,      -2.579488584,      0.9329898399,      0.1523761785,       0.351629954,                 0,                 0,                 0,    -0.01890956387,     0.04291141512,      0.3808158804,                 0,       2.307643868,      0.7369208074,      -2.600338273,      -1.831324842,      -1.592302255,      -2.542081618,      -1.770060967,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        130,           9,       -7.92922341,       -4.44506704,      -4.204582601,      -2.360333244,      -2.605972158,      0.9329898399,      0.1534774243,      0.3586308272,                 0,                 0,                 0,    -0.01455846077,     0.04191768449,      0.3878328219,                 0,       2.336700846,      0.7369332559,      -2.675756288,      -1.909293616,      -1.655277872,      -2.605593068,      -1.806600998,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        131,           9,      -7.935598912,      -4.495258291,      -4.339978141,      -2.346656123,      -2.616802499,      0.9329898399,      0.1550180106,      0.3704882462,                 0,                 0,                 0,   -0.009420537323,     0.03992418072,      0.3996225519,                 0,       2.389969041,      0.7103124938,       -2.68118027,      -1.953461814,      -1.784926877,      -2.591140363,      -1.830130197,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        132,           9,      -7.926898475,      -4.506153235,      -4.386629073,      -2.325165392,       -2.64750695,      0.9329898399,      0.1563932042,        0.38102478,                 0,                 0,                 0,   -0.006037115157,     0.03815870047,       0.410100757,                 0,       2.436325683,      0.7103195992,      -2.671725168,      -1.959972027,      -1.826130323,       -2.56902322,        -1.8759788,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        133,           9,      -7.953802855,      -4.525091568,      -4.461319891,      -2.336449998,      -2.797441121,      0.9329898399,      0.1570623644,      0.3895879337,                 0,                 0,                 0,   -0.004495802349,      0.0362949977,      0.4184853851,                 0,       2.480466503,      0.7103240217,      -2.698108954,      -1.976200227,      -1.895652343,      -2.579810668,      -2.043146029,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        134,           9,      -8.029630273,      -4.553842185,      -4.512245866,      -2.401343105,      -2.616965698,      0.9329898399,       0.157238027,      0.3935345016,                 0,                 0,                 0,   -0.005026631679,     0.03530911993,      0.4223108655,                 0,       2.502794706,      0.7103257571,      -2.773574341,      -2.003995742,      -1.941738818,      -2.644305009,        -1.8817538,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        135,           9,      -8.126112554,      -4.593015459,      -4.607094972,      -2.496711356,      -2.665584987,      0.9329898399,      0.1570104507,      0.3958180649,                 0,                 0,                 0,   -0.006105536971,     0.03442383838,      0.4244281111,                 0,       2.520966363,      0.7103248039,      -2.869825264,      -2.044119676,      -2.032044093,      -2.739361457,      -1.951247863,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        136,           9,      -8.135525831,      -4.616102481,       -4.63327566,      -2.529498719,      -2.682580243,      0.9329898399,      0.1567008494,        0.39694461,                 0,                 0,                 0,   -0.007405221372,     0.03379839527,      0.4254149129,                 0,         2.5331363,      0.7103211629,       -2.87919145,      -2.070232464,        -2.0540344,      -2.771939821,      -1.990324575,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        137,           9,      -8.127488889,      -4.678621645,      -4.670234863,      -2.540584447,      -2.674059275,      0.9329898399,      0.1567394829,      0.4001944091,                 0,                 0,                 0,   -0.007515454461,     0.03288519132,      0.4285340066,                 0,        2.55324569,      0.7103148375,      -2.871291133,      -2.137964556,      -2.087284491,      -2.782919576,      -2.004733096,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        138,           9,      -8.163934925,      -4.778916309,      -4.673042828,      -2.589186267,      -2.650498535,      0.9329898399,      0.1571994764,      0.4054847291,                 0,                 0,                 0,   -0.006661810857,      0.0317783454,      0.4337276538,                 0,       2.579427988,      0.7103058337,        -2.9080512,      -2.245650407,      -2.086910249,      -2.831522326,      -2.004634061,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        139,           9,      -8.235232383,      -4.881573038,      -4.677987878,      -2.663883317,      -2.644335439,      0.9329898399,      0.1582490463,      0.4143016519,                 0,                 0,                 0,   -0.004460233493,     0.03020423536,      0.4424661835,                 0,       2.618035695,        0.71029416,      -2.979854928,      -2.357853316,      -2.089177383,      -2.906345047,      -2.022359534,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        140,           9,        -8.2819205,      -4.949330305,      -4.722526529,      -2.709439926,      -2.650706112,      0.9329898399,      0.1595898839,      0.4243124145,                 0,                 0,                 0,    -0.00239369728,     0.02855962101,      0.4524315464,                 0,       2.658767612,      0.7155535006,       -3.02724998,      -2.437212684,      -2.131559353,      -2.952187079,      -2.052673481,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        141,           9,      -8.266371749,      -4.932654779,      -4.762810134,      -2.687341574,      -2.652594097,      0.9329898399,      0.1610820467,      0.4353929415,                 0,                 0,                 0,  -0.0001730569012,     0.02674695084,      0.4634641733,                 0,       2.702926555,       0.715536523,      -3.012620047,      -2.434032418,      -2.170224033,      -2.930561654,      -2.078377127,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        142,           9,      -8.269785191,      -4.908000804,       -4.83104435,       -2.68017913,      -2.655201963,      0.9329898399,      0.1625669657,      0.4459381827,                 0,                 0,                 0,    0.001368771661,     0.02508385577,      0.4739827859,                 0,       2.743104547,      0.7155169164,      -3.017167051,      -2.424569701,      -2.237400472,      -2.924061127,      -2.104549628,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        143,           9,       -8.31583879,      -4.911999016,      -4.903664991,      -2.717713774,      -2.657433797,      0.9329898399,      0.1639630706,      0.4555164526,                 0,                 0,                 0,    0.002339174393,     0.02361854248,      0.4835507125,                 0,       2.778164929,      0.7154946996,      -3.064557123,      -2.445139503,       -2.30958432,      -2.962434485,      -2.129746803,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        144,           9,      -8.398909599,      -4.941302114,      -5.021852595,      -2.790330457,      -2.660466651,      0.9329898399,      0.1651700816,      0.4634430738,                 0,                 0,                 0,    0.002514030587,     0.02245529304,       0.491483874,                 0,       2.805853635,       0.748159833,      -3.149155997,      -2.492046012,      -2.427978673,      -3.036061039,      -2.155135044,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        145,           9,      -8.418456991,      -4.959590926,      -5.046795537,      -2.812970343,      -2.759937328,      0.9329898399,      0.1662980127,      0.4703417472,                 0,                 0,                 0,    0.002476229165,     0.02151696203,      0.4984108832,                 0,       2.828306481,      0.7481324625,      -3.170419103,      -2.528654908,      -2.453742647,      -3.059886833,      -2.276202345,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        146,           9,      -8.391154016,      -4.989434345,      -5.026542657,      -2.801200517,      -2.772084157,      0.9329898399,      0.1673925858,      0.4763899741,                 0,                 0,                 0,    0.002220314513,     0.02079537707,      0.5045148536,                 0,       2.845944292,      0.7508171014,      -3.145014055,      -2.577263584,      -2.434912659,      -3.049488044,      -2.309152246,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        147,           9,      -8.385962111,      -5.036290396,      -5.011345473,       -2.81062699,      -2.772434211,      0.9329898399,      0.1687023898,      0.4825343159,                 0,                 0,                 0,    0.002211913051,     0.02025151716,      0.5107736665,                 0,       2.860269594,      0.7455110086,      -3.141886594,      -2.643095605,      -2.421736903,      -3.060470721,      -2.329455061,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        148,           9,      -8.425573428,      -5.053491614,      -5.014039092,      -2.862970653,      -2.759916306,      0.9329898399,      0.1702148407,      0.4892369399,                 0,                 0,                 0,    0.002622159437,     0.01973822353,      0.5176256155,                 0,       2.874231988,      0.7454761112,      -3.183708472,      -2.679285576,      -2.427009724,      -3.114540184,       -2.33595023,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        149,           9,      -8.462391638,      -4.998687285,      -5.036415554,      -2.909512194,      -2.691377796,      0.9329898399,      0.1720018135,      0.4966584669,                 0,                 0,                 0,    0.003412249438,     0.01927726967,      0.5252453175,                 0,       2.887518781,      0.7760382706,      -3.222862949,      -2.643315167,      -2.452463544,      -3.162956222,      -2.285461107,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        150,           9,      -8.415965278,      -4.905994736,      -5.068054691,      -2.871325297,      -2.661237362,      0.9329898399,      0.1740169801,      0.5045562506,                 0,                 0,                 0,    0.004431420679,      0.0188952946,      0.5333871833,                 0,       2.899465617,      0.7759985241,      -3.178888514,      -2.569153843,      -2.487625681,      -3.126784569,      -2.272473416,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        151,           9,      -8.391024108,      -4.817968313,      -5.031054695,       -2.83644862,       -2.66344006,      0.9329898399,      0.1761623595,       0.512437795,                 0,                 0,                 0,     0.00544223075,     0.01864259055,      0.5415515898,                 0,       2.908894933,       0.775956411,      -3.156518449,      -2.499233077,      -2.454539974,      -3.094064701,      -2.290934851,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        152,           9,      -8.389164416,      -4.753893914,      -4.991378174,      -2.827605975,      -2.661828661,      0.9329898399,      0.1784666783,      0.5203186722,                 0,                 0,                 0,    0.006507439054,     0.01854207599,      0.5497618278,                 0,       2.915494799,      0.7759119736,      -3.157354459,      -2.452729623,       -2.41910813,       -3.08751888,      -2.304319298,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        153,           9,      -8.406654369,      -4.706099629,      -4.943568294,      -2.846640142,      -2.661696723,      0.9329898399,      0.1809067258,      0.5281710062,                 0,                 0,                 0,    0.007606738522,     0.01857970481,       0.557984453,                 0,       2.919576394,      0.8042585992,      -3.177654752,      -2.421880034,      -2.375811747,      -3.108975304,      -2.318139923,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        154,           8,      -8.423623548,      -4.660844503,      -4.852149524,      -2.866927956,      -2.651132378,      0.9329898399,      0.1835023377,      0.5362669775,                 0,                 0,                 0,    0.008919598483,     0.01869486784,      0.5664855524,                 0,       2.922398615,      0.8042096497,      -3.197524406,       -2.39287275,      -2.289116847,      -3.131783993,      -2.320596039,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        155,           8,      -8.410638972,      -4.622177209,      -4.790530059,      -2.868464302,      -2.650304014,      0.9329898399,      0.1862408362,       0.544215461,                 0,                 0,                 0,     0.01018907212,     0.01898979534,      0.5748873844,                 0,       2.922105979,      0.8041585176,      -3.187508068,      -2.369704342,      -2.232385968,      -3.135911653,      -2.331851023,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        156,           8,      -8.394390176,      -4.586867206,      -4.748813368,      -2.865988839,       -2.64947182,      0.9329898399,      0.1890666569,      0.5517639901,                 0,                 0,                 0,     0.01130914457,     0.01948516476,      0.5829322686,                 0,        2.91835694,      0.8333751715,       -3.17428348,      -2.349106539,      -2.195690674,      -3.136075813,       -2.34196698,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        157,           8,        -8.3723303,      -4.553201282,      -4.724718448,      -2.851258568,      -2.649441415,      0.9329898399,      0.1920113364,      0.5589657629,                 0,                 0,                 0,     0.01239343938,     0.02019558119,      0.5906802992,                 0,       2.911108133,      0.8333198311,      -3.155291549,      -2.329338493,      -2.176720099,      -3.124009187,      -2.351977996,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        158,           8,      -8.374398982,       -4.52009992,       -4.70476937,      -2.844898994,      -2.649468383,      0.9329898399,      0.1951154202,      0.5659448024,                 0,                 0,                 0,     0.01358065815,     0.02112355759,      0.5982619342,                 0,       2.900564199,      0.8332624713,      -3.160454388,       -2.30930531,      -2.161962155,       -3.12031343,      -2.361171151,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        159,           8,      -8.373907794,      -4.488958508,       -4.69353925,      -2.829054189,      -2.649650198,      0.9329898399,      0.1983802087,      0.5725417274,                 0,                 0,                 0,     0.01476369493,     0.02231693623,      0.6055251367,                 0,       2.886082896,      0.8570767497,      -3.163056379,      -2.290395041,      -2.155945778,      -3.107105396,      -2.369641531,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        160,           8,      -8.369567986,      -4.459402583,      -4.685062207,      -2.807533691,      -2.649369064,      0.9329898399,      0.2018499955,      0.5789663245,                 0,                 0,                 0,     0.01607560742,     0.02375673944,      0.6126834769,                 0,       2.868299913,      0.8570155309,      -3.161777474,      -2.272237457,      -2.152666562,      -3.088166701,      -2.376686081,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        161,           8,      -8.365993277,      -4.432858475,      -4.680458987,      -2.789088787,      -2.647743838,      0.9329898399,      0.2054995515,      0.5850394115,                 0,                 0,                 0,     0.01741871226,     0.02547122836,      0.6195582258,                 0,       2.846913326,      0.8569524769,      -3.161200906,      -2.256267632,      -2.153213914,       -3.07222158,       -2.38155097,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        162,           8,      -8.360787789,      -4.410226863,      -4.678768405,      -2.773999092,      -2.646229116,      0.9329898399,      0.2093291619,      0.5907244509,                 0,                 0,                 0,     0.01878253322,      0.0274713584,      0.6261145257,                 0,       2.821988324,       0.878548402,       -3.15890287,      -2.243396366,       -2.15660391,      -3.059524104,      -2.385754187,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        163,           8,      -8.361837847,      -4.389622705,      -4.659026522,        -2.7632128,      -2.644809974,      0.9329898399,      0.2133714477,      0.5963274058,                 0,                 0,                 0,     0.02039347354,     0.02969887005,      0.6326545082,                 0,       2.794785395,       0.872422481,      -3.162743661,      -2.231750313,      -2.141853957,      -3.050998726,      -2.389335963,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        164,           8,       -8.35628776,      -4.373579571,      -4.668617529,      -2.749446837,      -2.643579904,      0.9329898399,      0.2175528044,      0.6013124502,                 0,                 0,                 0,     0.02187630217,     0.03224003542,      0.6386442403,                 0,       2.763983906,      0.8723543235,      -3.159843829,      -2.223877032,      -2.156329542,      -3.039342499,      -2.392346872,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        165,           8,      -8.349500582,      -4.357845539,      -4.655295457,      -2.734832028,      -2.642733091,      0.9329898399,      0.2218679465,      0.6057338711,                 0,                 0,                 0,     0.02332973268,     0.03507392797,      0.6441340915,                 0,       2.730154944,         0.8954373,      -3.155545805,      -2.215541723,      -2.147766186,      -3.026671133,      -2.394953904,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        166,           8,      -8.343857648,      -4.343780703,      -4.645117646,      -2.719331288,      -2.642099532,      0.9329898399,      0.2263150252,      0.6096816649,                 0,                 0,                 0,     0.02481467913,     0.03817246721,      0.6492095855,                 0,       2.693951338,      0.8953660939,      -3.152215503,      -2.208123206,      -2.142206287,      -3.012937845,      -2.397009989,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
